reporting_year,geoid,boro_ct2020,vacant_on_12_31,count_vacant,perc_vacant,total_storefronts
2020 and 2021,36061015601,1015601,YES,4,0.12,32
2020 and 2021,36061015602,1015602,NO,5,1,5
2020 and 2021,36061015700,1015700,NO,164,0.92,178
2020 and 2021,36061015700,1015700,YES,14,0.08,178
2020 and 2021,36061015801,1015801,NO,45,0.79,57
2020 and 2021,36061015801,1015801,YES,12,0.21,57
2020 and 2021,36061015802,1015802,NO,24,0.92,26
2020 and 2021,36061015802,1015802,YES,2,0.08,26
2020 and 2021,36061015900,1015900,NO,39,0.91,43
2020 and 2021,36061015900,1015900,YES,4,0.09,43
2020 and 2021,36061016001,1016001,NO,28,0.85,33
2020 and 2021,36061016001,1016001,YES,5,0.15,33
2020 and 2021,36061016002,1016002,NO,11,0.69,16
2020 and 2021,36061016002,1016002,YES,5,0.31,16
2020 and 2021,36061016100,1016100,NO,38,0.86,44
2020 and 2021,36061016100,1016100,YES,6,0.14,44
2020 and 2021,36061016200,1016200,NO,18,1,18
2020 and 2021,36061016300,1016300,NO,27,0.79,34
2020 and 2021,36061016300,1016300,YES,7,0.21,34
2020 and 2021,36061016400,1016400,NO,13,0.93,14
2020 and 2021,36061016400,1016400,YES,1,0.07,14
2020 and 2021,36061016500,1016500,NO,31,0.72,43
2020 and 2021,36061016500,1016500,YES,12,0.28,43
2020 and 2021,36061016600,1016600,NO,77,0.9,86
2020 and 2021,36061016600,1016600,YES,9,0.1,86
2020 and 2021,36061016700,1016700,NO,98,0.92,107
2020 and 2021,36061016700,1016700,YES,9,0.08,107
2020 and 2021,36061016800,1016800,NO,12,1,12
2020 and 2021,36061016900,1016900,NO,89,0.93,96
2020 and 2021,36061016900,1016900,YES,7,0.07,96
2020 and 2021,36061017000,1017000,NO,74,0.86,86
2020 and 2021,36061017000,1017000,YES,12,0.14,86
2020 and 2021,36061017100,1017100,NO,51,0.84,61
2020 and 2021,36061017100,1017100,YES,10,0.16,61
2020 and 2021,36061017200,1017200,NO,121,0.88,137
2020 and 2021,36061017200,1017200,YES,16,0.12,137
2020 and 2021,36061017300,1017300,NO,23,0.88,26
2020 and 2021,36061017300,1017300,YES,3,0.12,26
2020 and 2021,36061017401,1017401,NO,17,1,17
2020 and 2021,36061017402,1017402,NO,8,1,8
2020 and 2021,36061017500,1017500,NO,31,0.84,37
2020 and 2021,36061017500,1017500,YES,6,0.16,37
2020 and 2021,36061017700,1017700,NO,18,1,18
2020 and 2021,36061017800,1017800,NO,46,0.73,63
2020 and 2021,36061017800,1017800,YES,17,0.27,63
2020 and 2021,36061017900,1017900,NO,50,0.82,61
2020 and 2021,36061017900,1017900,YES,11,0.18,61
2020 and 2021,36061018000,1018000,NO,49,0.94,52
2020 and 2021,36061018000,1018000,YES,3,0.06,52
2020 and 2021,36061018100,1018100,NO,27,0.84,32
2020 and 2021,36061018100,1018100,YES,5,0.16,32
2020 and 2021,36061018200,1018200,NO,97,0.87,111
2020 and 2021,36061018200,1018200,YES,14,0.13,111
2020 and 2021,36061018300,1018300,NO,68,0.92,74
2020 and 2021,36061018300,1018300,YES,6,0.08,74
2020 and 2021,36061018400,1018400,NO,36,0.9,40
2020 and 2021,36061018400,1018400,YES,4,0.1,40
2020 and 2021,36061018500,1018500,NO,3,1,3
2020 and 2021,36061018600,1018600,NO,7,0.88,8
2020 and 2021,36061018600,1018600,YES,1,0.12,8
2020 and 2021,36061018700,1018700,NO,50,0.86,58
2020 and 2021,36061018700,1018700,YES,8,0.14,58
2020 and 2021,36061018800,1018800,NO,104,0.86,121
2020 and 2021,36061018800,1018800,YES,17,0.14,121
2020 and 2021,36061018900,1018900,NO,36,0.9,40
2020 and 2021,36061018900,1018900,YES,4,0.1,40
2020 and 2021,36061019000,1019000,NO,6,0.75,8
2020 and 2021,36061019000,1019000,YES,2,0.25,8
2020 and 2021,36061019100,1019100,NO,55,0.87,63
2020 and 2021,36061019100,1019100,YES,8,0.13,63
2020 and 2021,36061019200,1019200,NO,2,1,2
2020 and 2021,36061019300,1019300,NO,84,0.93,90
2020 and 2021,36061019300,1019300,YES,6,0.07,90
2020 and 2021,36061019400,1019400,NO,39,0.91,43
2020 and 2021,36061019400,1019400,YES,4,0.09,43
2020 and 2021,36061019500,1019500,NO,47,0.87,54
2020 and 2021,36061019500,1019500,YES,7,0.13,54
2020 and 2021,36061019600,1019600,NO,72,0.94,77
2020 and 2021,36061019600,1019600,YES,5,0.06,77
2020 and 2021,36061019702,1019702,NO,9,1,9
2020 and 2021,36061019800,1019800,NO,42,0.86,49
2020 and 2021,36061019800,1019800,YES,7,0.14,49
2020 and 2021,36061019900,1019900,NO,45,0.85,53
2020 and 2021,36061019900,1019900,YES,8,0.15,53
2020 and 2021,36061020000,1020000,NO,60,0.83,72
2020 and 2021,36061020000,1020000,YES,12,0.17,72
2020 and 2021,36061020101,1020101,NO,3,1,3
2020 and 2021,36061020102,1020102,NO,7,1,7
2020 and 2021,36061020300,1020300,NO,4,0.8,5
2020 and 2021,36061020300,1020300,YES,1,0.2,5
2020 and 2021,36061020500,1020500,NO,9,0.9,10
2020 and 2021,36061020500,1020500,YES,1,0.1,10
2020 and 2021,36061020600,1020600,NO,14,0.93,15
2020 and 2021,36061020600,1020600,YES,1,0.07,15
2020 and 2021,36061020701,1020701,NO,10,1,10
2020 and 2021,36061020800,1020800,NO,25,0.89,28
2020 and 2021,36061020800,1020800,YES,3,0.11,28
2020 and 2021,36061020901,1020901,NO,49,0.96,51
2020 and 2021,36061020901,1020901,YES,2,0.04,51
2020 and 2021,36061021000,1021000,NO,3,0.6,5
2020 and 2021,36061021000,1021000,YES,2,0.4,5
2020 and 2021,36061021100,1021100,NO,45,0.9,50
2020 and 2021,36061021100,1021100,YES,5,0.1,50
2020 and 2021,36061021200,1021200,NO,37,0.73,51
2020 and 2021,36061021200,1021200,YES,14,0.27,51
2020 and 2021,36061021303,1021303,NO,28,0.85,33
2020 and 2021,36061021303,1021303,YES,5,0.15,33
2020 and 2021,36061021400,1021400,NO,7,1,7
2020 and 2021,36061021500,1021500,NO,24,0.83,29
2020 and 2021,36061021500,1021500,YES,5,0.17,29
2020 and 2021,36061021600,1021600,NO,30,0.91,33
2020 and 2021,36061021600,1021600,YES,3,0.09,33
2020 and 2021,36061021800,1021800,NO,77,0.89,87
2020 and 2021,36061021800,1021800,YES,10,0.11,87
2020 and 2021,36061021900,1021900,NO,38,1,38
2020 and 2021,36061022000,1022000,NO,33,0.94,35
2020 and 2021,36061022000,1022000,YES,2,0.06,35
2020 and 2021,36061022102,1022102,NO,14,1,14
2020 and 2021,36061022200,1022200,NO,79,0.91,87
2020 and 2021,36061022200,1022200,YES,8,0.09,87
2020 and 2021,36061022301,1022301,NO,51,0.93,55
2020 and 2021,36061022301,1022301,YES,4,0.07,55
2020 and 2021,36061022302,1022302,NO,4,1,4
2020 and 2021,36061022400,1022400,NO,36,0.9,40
2020 and 2021,36061022400,1022400,YES,4,0.1,40
2020 and 2021,36061022500,1022500,NO,82,0.89,92
2020 and 2021,36061022500,1022500,YES,10,0.11,92
2020 and 2021,36061022600,1022600,NO,75,0.94,80
2020 and 2021,36061022600,1022600,YES,5,0.06,80
2020 and 2021,36061022700,1022700,NO,26,1,26
2020 and 2021,36061022800,1022800,NO,65,0.94,69
2020 and 2021,36061022800,1022800,YES,4,0.06,69
2020 and 2021,36061022900,1022900,NO,88,0.88,100
2020 and 2021,36061022900,1022900,YES,12,0.12,100
2020 and 2021,36061023000,1023000,NO,56,0.98,57
2020 and 2021,36061023000,1023000,YES,1,0.02,57
2020 and 2021,36061023100,1023100,NO,39,0.98,40
2020 and 2021,36061023100,1023100,YES,1,0.03,40
2020 and 2021,36061023200,1023200,NO,84,0.9,93
2020 and 2021,36061023200,1023200,YES,9,0.1,93
2020 and 2021,36061023300,1023300,NO,76,0.84,90
2020 and 2021,36061023300,1023300,YES,14,0.16,90
2020 and 2021,36061023400,1023400,NO,30,0.86,35
2020 and 2021,36061023400,1023400,YES,5,0.14,35
2020 and 2021,36061023501,1023501,NO,16,0.73,22
2020 and 2021,36061023501,1023501,YES,6,0.27,22
2020 and 2021,36061023502,1023502,NO,19,1,19
2020 and 2021,36061023600,1023600,NO,21,1,21
2020 and 2021,36061023700,1023700,NO,43,0.86,50
2020 and 2021,36061023700,1023700,YES,7,0.14,50
2020 and 2021,36061023803,1023803,NO,8,0.89,9
2020 and 2021,36061023803,1023803,YES,1,0.11,9
2020 and 2021,36061023900,1023900,NO,12,0.92,13
2020 and 2021,36061023900,1023900,YES,1,0.08,13
2020 and 2021,36061024100,1024100,NO,52,0.9,58
2020 and 2021,36061024100,1024100,YES,6,0.1,58
2020 and 2021,36061024200,1024200,NO,14,1,14
2020 and 2021,36061024301,1024301,NO,31,0.91,34
2020 and 2021,36061024301,1024301,YES,3,0.09,34
2020 and 2021,36061024500,1024500,NO,181,0.89,204
2020 and 2021,36061024500,1024500,YES,23,0.11,204
2020 and 2021,36061024700,1024700,NO,5,1,5
2020 and 2021,36061024900,1024900,NO,14,0.67,21
2020 and 2021,36061024900,1024900,YES,7,0.33,21
2020 and 2021,36061025100,1025100,NO,33,0.87,38
2020 and 2021,36061025100,1025100,YES,5,0.13,38
2020 and 2021,36061025300,1025300,NO,118,0.94,125
2020 and 2021,36061025300,1025300,YES,7,0.06,125
2020 and 2021,36061025500,1025500,NO,6,0.75,8
2020 and 2021,36061025500,1025500,YES,2,0.25,8
2020 and 2021,36061025700,1025700,NO,25,0.76,33
2020 and 2021,36061025700,1025700,YES,8,0.24,33
2020 and 2021,36061025900,1025900,NO,30,0.91,33
2020 and 2021,36061025900,1025900,YES,3,0.09,33
2020 and 2021,36061026100,1026100,NO,99,0.88,112
2020 and 2021,36061026100,1026100,YES,13,0.12,112
2020 and 2021,36061026300,1026300,NO,126,0.91,139
2020 and 2021,36061026300,1026300,YES,13,0.09,139
2020 and 2021,36061026500,1026500,NO,101,0.96,105
2020 and 2021,36061026500,1026500,YES,4,0.04,105
2020 and 2021,36061026700,1026700,NO,8,1,8
2020 and 2021,36061026900,1026900,NO,140,0.86,162
2020 and 2021,36061026900,1026900,YES,22,0.14,162
2020 and 2021,36061027100,1027100,NO,99,0.93,107
2020 and 2021,36061027100,1027100,YES,8,0.07,107
2020 and 2021,36061027300,1027300,NO,43,0.93,46
2020 and 2021,36061027300,1027300,YES,3,0.07,46
2020 and 2021,36061027500,1027500,NO,2,1,2
2020 and 2021,36061027700,1027700,NO,40,0.83,48
2020 and 2021,36061027700,1027700,YES,8,0.17,48
2020 and 2021,36061027900,1027900,NO,82,0.94,87
2020 and 2021,36061027900,1027900,YES,5,0.06,87
2020 and 2021,36061028100,1028100,NO,8,1,8
2020 and 2021,36061028300,1028300,NO,62,0.94,66
2020 and 2021,36061028300,1028300,YES,4,0.06,66
2020 and 2021,36061028500,1028500,NO,99,0.94,105
2020 and 2021,36061028500,1028500,YES,6,0.06,105
2020 and 2021,36061028700,1028700,NO,68,0.93,73
2020 and 2021,36061028700,1028700,YES,5,0.07,73
2020 and 2021,36061029100,1029100,NO,103,0.99,104
2020 and 2021,36061029100,1029100,YES,1,0.01,104
2020 and 2021,36061029300,1029300,NO,157,0.98,161
2020 and 2021,36061029300,1029300,YES,4,0.02,161
2020 and 2021,36061029500,1029500,NO,59,0.98,60
2020 and 2021,36061029500,1029500,YES,1,0.02,60
2020 and 2021,36061029900,1029900,NO,47,0.92,51
2020 and 2021,36061029900,1029900,YES,4,0.08,51
2020 and 2021,36061030300,1030300,NO,55,0.93,59
2020 and 2021,36061030300,1030300,YES,4,0.07,59
2020 and 2021,36061030700,1030700,NO,13,0.93,14
2020 and 2021,36061030700,1030700,YES,1,0.07,14
2020 and 2021,36061030900,1030900,NO,44,0.9,49
2020 and 2021,36061030900,1030900,YES,5,0.1,49
2020 and 2021,36061031703,1031703,NO,28,0.82,34
2020 and 2021,36061031703,1031703,YES,6,0.18,34
2020 and 2021,36061031704,1031704,NO,14,0.78,18
2020 and 2021,36061031704,1031704,YES,4,0.22,18
2020 and 2021,36081000101,4000101,NO,13,1,13
2020 and 2021,36081000102,4000102,NO,18,0.95,19
2020 and 2021,36081000102,4000102,YES,1,0.05,19
2020 and 2021,36081000103,4000103,NO,3,0.5,6
2020 and 2021,36081000103,4000103,YES,3,0.5,6
2020 and 2021,36081000104,4000104,NO,35,0.88,40
2020 and 2021,36081000104,4000104,YES,5,0.12,40
2020 and 2021,36081000200,4000200,NO,9,0.9,10
2020 and 2021,36081000200,4000200,YES,1,0.1,10
2020 and 2021,36081000400,4000400,NO,21,0.91,23
2020 and 2021,36081000400,4000400,YES,2,0.09,23
2020 and 2021,36081000600,4000600,NO,2,0.33,6
2020 and 2021,36081000600,4000600,YES,4,0.67,6
2020 and 2021,36081000701,4000701,NO,55,0.87,63
2020 and 2021,36081000701,4000701,YES,8,0.13,63
2020 and 2021,36081000702,4000702,NO,59,0.94,63
2020 and 2021,36081000702,4000702,YES,4,0.06,63
2020 and 2021,36081000800,4000800,NO,5,0.83,6
2020 and 2021,36081000800,4000800,YES,1,0.17,6
2020 and 2021,36081001000,4001000,NO,20,0.91,22
2020 and 2021,36081001000,4001000,YES,2,0.09,22
2020 and 2021,36081001200,4001200,NO,23,1,23
2020 and 2021,36081001400,4001400,NO,12,0.86,14
2020 and 2021,36081001400,4001400,YES,2,0.14,14
2020 and 2021,36081001600,4001600,NO,13,1,13
2020 and 2021,36081001800,4001800,NO,23,0.85,27
2020 and 2021,36081001800,4001800,YES,4,0.15,27
2020 and 2021,36081001901,4001901,NO,6,0.6,10
2020 and 2021,36081001901,4001901,YES,4,0.4,10
2020 and 2021,36081001902,4001902,NO,50,0.71,70
2020 and 2021,36081001902,4001902,YES,20,0.29,70
2020 and 2021,36081001903,4001903,NO,52,0.85,61
2020 and 2021,36081001903,4001903,YES,9,0.15,61
2020 and 2021,36081002000,4002000,NO,4,0.8,5
2020 and 2021,36081002000,4002000,YES,1,0.2,5
2020 and 2021,36081002200,4002200,NO,17,0.89,19
2020 and 2021,36081002200,4002200,YES,2,0.11,19
2020 and 2021,36081002400,4002400,NO,5,0.83,6
2020 and 2021,36081002400,4002400,YES,1,0.17,6
2020 and 2021,36081002600,4002600,NO,5,1,5
2020 and 2021,36081002800,4002800,NO,6,0.6,10
2020 and 2021,36081002800,4002800,YES,4,0.4,10
2020 and 2021,36081003000,4003000,NO,6,1,6
2020 and 2021,36081003100,4003100,NO,34,0.94,36
2020 and 2021,36081003100,4003100,YES,2,0.06,36
2020 and 2021,36081003200,4003200,NO,7,1,7
2020 and 2021,36081003301,4003301,NO,31,0.89,35
2020 and 2021,36081003301,4003301,YES,4,0.11,35
2020 and 2021,36081003302,4003302,NO,68,0.93,73
2020 and 2021,36081003302,4003302,YES,5,0.07,73
2020 and 2021,36081003400,4003400,NO,18,1,18
2020 and 2021,36081003600,4003600,NO,5,0.83,6
2020 and 2021,36081003600,4003600,YES,1,0.17,6
2020 and 2021,36081003800,4003800,NO,15,0.79,19
2020 and 2021,36081003800,4003800,YES,4,0.21,19
2020 and 2021,36081003900,4003900,NO,19,0.86,22
2020 and 2021,36081003900,4003900,YES,3,0.14,22
2020 and 2021,36081004001,4004001,NO,24,0.96,25
2020 and 2021,36081004001,4004001,YES,1,0.04,25
2020 and 2021,36081004002,4004002,NO,27,0.96,28
2020 and 2021,36081004002,4004002,YES,1,0.04,28
2020 and 2021,36081004200,4004200,NO,10,0.71,14
2020 and 2021,36081004200,4004200,YES,4,0.29,14
2020 and 2021,36081004300,4004300,NO,12,1,12
2020 and 2021,36081004401,4004401,NO,10,0.83,12
2020 and 2021,36081004401,4004401,YES,2,0.17,12
2020 and 2021,36081004500,4004500,NO,15,1,15
2020 and 2021,36081004700,4004700,NO,26,0.74,35
2020 and 2021,36081004700,4004700,YES,9,0.26,35
2020 and 2021,36081005100,4005100,NO,33,1,33
2020 and 2021,36081005200,4005200,NO,6,0.86,7
2020 and 2021,36081005200,4005200,YES,1,0.14,7
2020 and 2021,36081005300,4005300,NO,34,0.97,35
2020 and 2021,36081005300,4005300,YES,1,0.03,35
2020 and 2021,36081005400,4005400,NO,39,0.98,40
2020 and 2021,36081005400,4005400,YES,1,0.03,40
2020 and 2021,36081005500,4005500,NO,37,0.77,48
2020 and 2021,36081005500,4005500,YES,11,0.23,48
2020 and 2021,36081005700,4005700,NO,44,0.8,55
2020 and 2021,36081005700,4005700,YES,11,0.2,55
2020 and 2021,36081005800,4005800,NO,18,0.78,23
2020 and 2021,36081005800,4005800,YES,5,0.22,23
2020 and 2021,36081005900,4005900,NO,63,0.88,72
2020 and 2021,36081005900,4005900,YES,9,0.12,72
2020 and 2021,36081006100,4006100,NO,68,1,68
2020 and 2021,36081006201,4006201,NO,1,0.5,2
2020 and 2021,36081006201,4006201,YES,1,0.5,2
2020 and 2021,36081006202,4006202,NO,24,0.86,28
2020 and 2021,36081006202,4006202,YES,4,0.14,28
2020 and 2021,36081006300,4006300,NO,81,0.9,90
2020 and 2021,36081006300,4006300,YES,9,0.1,90
2020 and 2021,36081006501,4006501,NO,15,0.83,18
2020 and 2021,36081006501,4006501,YES,3,0.17,18
2020 and 2021,36081006502,4006502,NO,37,0.84,44
2020 and 2021,36081006502,4006502,YES,7,0.16,44
2020 and 2021,36081006900,4006900,NO,55,0.89,62
2020 and 2021,36081006900,4006900,YES,7,0.11,62
2020 and 2021,36081007100,4007100,NO,64,0.94,68
2020 and 2021,36081007100,4007100,YES,4,0.06,68
2020 and 2021,36081007300,4007300,NO,10,1,10
2020 and 2021,36081007500,4007500,NO,21,1,21
2020 and 2021,36081007700,4007700,NO,28,1,28
2020 and 2021,36081007900,4007900,NO,21,0.88,24
2020 and 2021,36081007900,4007900,YES,3,0.12,24
2020 and 2021,36081008100,4008100,NO,7,1,7
2020 and 2021,36081008300,4008300,NO,23,0.72,32
2020 and 2021,36081008300,4008300,YES,9,0.28,32
2020 and 2021,36081008500,4008500,NO,42,0.95,44
2020 and 2021,36081008500,4008500,YES,2,0.05,44
2020 and 2021,36081008600,4008600,NO,24,0.96,25
2020 and 2021,36081008600,4008600,YES,1,0.04,25
2020 and 2021,36081008700,4008700,NO,2,1,2
2020 and 2021,36081008800,4008800,NO,21,0.95,22
2020 and 2021,36081008800,4008800,YES,1,0.05,22
2020 and 2021,36081009100,4009100,NO,1,0.5,2
2020 and 2021,36081009100,4009100,YES,1,0.5,2
2020 and 2021,36081009400,4009400,NO,21,1,21
2020 and 2021,36081009500,4009500,NO,2,1,2
2020 and 2021,36081009600,4009600,NO,14,0.93,15
2020 and 2021,36081009600,4009600,YES,1,0.07,15
2020 and 2021,36081009700,4009700,NO,8,1,8
2020 and 2021,36081009800,4009800,NO,33,1,33
2020 and 2021,36081010000,4010000,NO,15,0.88,17
2020 and 2021,36081010000,4010000,YES,2,0.12,17
2020 and 2021,36081010100,4010100,NO,14,1,14
2020 and 2021,36081010200,4010200,NO,12,0.92,13
2020 and 2021,36081010200,4010200,YES,1,0.08,13
2020 and 2021,36081010300,4010300,NO,11,1,11
2020 and 2021,36081010400,4010400,NO,18,0.95,19
2020 and 2021,36081010400,4010400,YES,1,0.05,19
2020 and 2021,36081010500,4010500,NO,14,0.93,15
2020 and 2021,36081010500,4010500,YES,1,0.07,15
2020 and 2021,36081010600,4010600,NO,27,0.9,30
2020 and 2021,36081010600,4010600,YES,3,0.1,30
2020 and 2021,36081010701,4010701,NO,7,1,7
2020 and 2021,36081010800,4010800,NO,3,1,3
2020 and 2021,36081011000,4011000,NO,7,1,7
2020 and 2021,36081011100,4011100,NO,7,1,7
2020 and 2021,36081011200,4011200,NO,10,0.83,12
2020 and 2021,36081011200,4011200,YES,2,0.17,12
2020 and 2021,36081011300,4011300,NO,47,0.89,53
2020 and 2021,36081011300,4011300,YES,6,0.11,53
2020 and 2021,36081011400,4011400,NO,17,0.89,19
2020 and 2021,36081011400,4011400,YES,2,0.11,19
2020 and 2021,36081011500,4011500,NO,125,0.93,135
2020 and 2021,36081011500,4011500,YES,10,0.07,135
2020 and 2021,36081011600,4011600,NO,15,0.94,16
2020 and 2021,36081011600,4011600,YES,1,0.06,16
2020 and 2021,36081011700,4011700,NO,23,0.92,25
2020 and 2021,36081011700,4011700,YES,2,0.08,25
2020 and 2021,36081011800,4011800,NO,11,1,11
2020 and 2021,36081011900,4011900,NO,28,0.97,29
2020 and 2021,36081011900,4011900,YES,1,0.03,29
2020 and 2021,36081012000,4012000,NO,4,1,4
2020 and 2021,36081012100,4012100,NO,12,1,12
2020 and 2021,36081012200,4012200,NO,20,1,20
2020 and 2021,36081012301,4012301,NO,27,0.93,29
2020 and 2021,36081012301,4012301,YES,2,0.07,29
2020 and 2021,36081012400,4012400,NO,13,0.93,14
2020 and 2021,36081012400,4012400,YES,1,0.07,14
2020 and 2021,36081012500,4012500,NO,5,0.83,6
2020 and 2021,36081012500,4012500,YES,1,0.17,6
2020 and 2021,36081012601,4012601,NO,34,0.89,38
2020 and 2021,36081012601,4012601,YES,4,0.11,38
2020 and 2021,36081012602,4012602,NO,6,0.86,7
2020 and 2021,36081012602,4012602,YES,1,0.14,7
2020 and 2021,36081012800,4012800,NO,4,0.8,5
2020 and 2021,36081012800,4012800,YES,1,0.2,5
2020 and 2021,36081013000,4013000,NO,6,0.86,7
2020 and 2021,36081013000,4013000,YES,1,0.14,7
2020 and 2021,36081013200,4013200,NO,25,0.96,26
2020 and 2021,36081013200,4013200,YES,1,0.04,26
2020 and 2021,36081013600,4013600,NO,25,0.96,26
2020 and 2021,36081013600,4013600,YES,1,0.04,26
2020 and 2021,36081013700,4013700,NO,20,0.91,22
2020 and 2021,36081013700,4013700,YES,2,0.09,22
2020 and 2021,36081013800,4013800,NO,10,0.71,14
2020 and 2021,36081013800,4013800,YES,4,0.29,14
2020 and 2021,36081014000,4014000,NO,11,1,11
2020 and 2021,36081014100,4014100,NO,33,0.94,35
2020 and 2021,36081014100,4014100,YES,2,0.06,35
2020 and 2021,36081014201,4014201,NO,19,0.95,20
2020 and 2021,36081014201,4014201,YES,1,0.05,20
2020 and 2021,36081014202,4014202,NO,32,0.97,33
2020 and 2021,36081014202,4014202,YES,1,0.03,33
2020 and 2021,36081014300,4014300,NO,37,0.8,46
2020 and 2021,36081014300,4014300,YES,9,0.2,46
2020 and 2021,36081014400,4014400,NO,39,0.91,43
2020 and 2021,36081014400,4014400,YES,4,0.09,43
2020 and 2021,36081014500,4014500,NO,6,1,6
2020 and 2021,36081014700,4014700,NO,46,0.9,51
2020 and 2021,36081014700,4014700,YES,5,0.1,51
2020 and 2021,36081014800,4014800,NO,1,1,1
2020 and 2021,36081014900,4014900,NO,59,0.86,69
2020 and 2021,36081014900,4014900,YES,10,0.14,69
2020 and 2021,36081015100,4015100,NO,20,1,20
2020 and 2021,36081015200,4015200,NO,5,1,5
2020 and 2021,36081015300,4015300,NO,14,0.93,15
2020 and 2021,36081015300,4015300,YES,1,0.07,15
2020 and 2021,36081015400,4015400,NO,14,0.93,15
2020 and 2021,36081015400,4015400,YES,1,0.07,15
2020 and 2021,36081015500,4015500,NO,133,0.85,157
2020 and 2021,36081015500,4015500,YES,24,0.15,157
2020 and 2021,36081015600,4015600,NO,6,1,6
2020 and 2021,36081015700,4015700,NO,47,0.84,56
2020 and 2021,36081015700,4015700,YES,9,0.16,56
2020 and 2021,36081015801,4015801,NO,23,0.79,29
2020 and 2021,36081015801,4015801,YES,6,0.21,29
2020 and 2021,36081015802,4015802,NO,80,0.93,86
2020 and 2021,36081015802,4015802,YES,6,0.07,86
2020 and 2021,36081015900,4015900,NO,23,0.96,24
2020 and 2021,36081015900,4015900,YES,1,0.04,24
2020 and 2021,36081016100,4016100,NO,26,0.87,30
2020 and 2021,36081016100,4016100,YES,4,0.13,30
2020 and 2021,36081016300,4016300,NO,21,0.91,23
2020 and 2021,36081016300,4016300,YES,2,0.09,23
2020 and 2021,36081016600,4016600,NO,27,0.87,31
2020 and 2021,36081016600,4016600,YES,4,0.13,31
2020 and 2021,36081016800,4016800,NO,2,1,2
2020 and 2021,36081016900,4016900,NO,11,0.92,12
2020 and 2021,36081016900,4016900,YES,1,0.08,12
2020 and 2021,36081017000,4017000,NO,5,1,5
2020 and 2021,36081017101,4017101,NO,6,0.86,7
2020 and 2021,36081017101,4017101,YES,1,0.14,7
2020 and 2021,36081017102,4017102,NO,43,0.88,49
2020 and 2021,36081017102,4017102,YES,6,0.12,49
2020 and 2021,36081017200,4017200,NO,3,1,3
2020 and 2021,36081017400,4017400,NO,2,0.67,3
2020 and 2021,36081017400,4017400,YES,1,0.33,3
2020 and 2021,36081017800,4017800,NO,6,1,6
2020 and 2021,36081017901,4017901,NO,6,0.6,10
2020 and 2021,36081017901,4017901,YES,4,0.4,10
2020 and 2021,36081017902,4017902,NO,38,0.81,47
2020 and 2021,36081017902,4017902,YES,9,0.19,47
2020 and 2021,36081018000,4018000,NO,11,0.92,12
2020 and 2021,36081018000,4018000,YES,1,0.08,12
2020 and 2021,36081018101,4018101,NO,31,0.94,33
2020 and 2021,36081018101,4018101,YES,2,0.06,33
2020 and 2021,36081018102,4018102,NO,17,1,17
2020 and 2021,36081018200,4018200,NO,4,1,4
2020 and 2021,36081018300,4018300,NO,95,0.97,98
2020 and 2021,36081018300,4018300,YES,3,0.03,98
2020 and 2021,36081018401,4018401,NO,1,1,1
2020 and 2021,36081018402,4018402,NO,2,0.67,3
2020 and 2021,36081018402,4018402,YES,1,0.33,3
2020 and 2021,36081018501,4018501,NO,14,0.93,15
2020 and 2021,36081018501,4018501,YES,1,0.07,15
2020 and 2021,36081018502,4018502,NO,47,0.98,48
2020 and 2021,36081018502,4018502,YES,1,0.02,48
2020 and 2021,36081018700,4018700,NO,5,1,5
2020 and 2021,36081018900,4018900,NO,16,0.8,20
2020 and 2021,36081018900,4018900,YES,4,0.2,20
2020 and 2021,36081019000,4019000,NO,28,0.93,30
2020 and 2021,36081019000,4019000,YES,2,0.07,30
2020 and 2021,36081019600,4019600,NO,1,1,1
2020 and 2021,36081019800,4019800,NO,3,1,3
2020 and 2021,36081019901,4019901,NO,43,0.84,51
2020 and 2021,36081019901,4019901,YES,8,0.16,51
2020 and 2021,36081019902,4019902,NO,30,0.79,38
2020 and 2021,36081019902,4019902,YES,8,0.21,38
2020 and 2021,36081020400,4020400,NO,11,0.92,12
2020 and 2021,36081020400,4020400,YES,1,0.08,12
2020 and 2021,36081020500,4020500,NO,25,1,25
2020 and 2021,36081020600,4020600,NO,7,1,7
2020 and 2021,36081020800,4020800,NO,22,0.96,23
2020 and 2021,36081020800,4020800,YES,1,0.04,23
2020 and 2021,36081021200,4021200,NO,37,0.86,43
2020 and 2021,36081021200,4021200,YES,6,0.14,43
2020 and 2021,36081021400,4021400,NO,63,0.9,70
2020 and 2021,36081021400,4021400,YES,7,0.1,70
2020 and 2021,36081021601,4021601,NO,21,0.91,23
2020 and 2021,36081021601,4021601,YES,2,0.09,23
2020 and 2021,36081021602,4021602,NO,7,1,7
2020 and 2021,36081021900,4021900,NO,27,1,27
2020 and 2021,36081022002,4022002,NO,9,0.82,11
2020 and 2021,36081022002,4022002,YES,2,0.18,11
2020 and 2021,36081022900,4022900,NO,1,1,1
2020 and 2021,36081023000,4023000,NO,15,0.94,16
2020 and 2021,36081023000,4023000,YES,1,0.06,16
2020 and 2021,36081023501,4023501,NO,6,0.67,9
2020 and 2021,36081023501,4023501,YES,3,0.33,9
2020 and 2021,36081023502,4023502,NO,43,0.96,45
2020 and 2021,36081023502,4023502,YES,2,0.04,45
2020 and 2021,36081023600,4023600,NO,42,0.88,48
2020 and 2021,36081023600,4023600,YES,6,0.12,48
2020 and 2021,36081023800,4023800,NO,37,0.88,42
